park_name,scientific_name,category,common_names,conservation_status,observations
Yellowstone,Ochrotomys nuttalli,Mammal,Golden Mouse,Least Concern,267
Yosemite,Ochrotomys nuttalli,Mammal,Golden Mouse,Least Concern,161
Bryce,Oclemena acuminata,Vascular Plant,Whorled Wood Aster,Least Concern,78
Great Smoky Mountains,Oclemena acuminata,Vascular Plant,Whorled Wood Aster,Least Concern,74
Yellowstone,Oclemena acuminata,Vascular Plant,Whorled Wood Aster,Least Concern,243
Yosemite,Oclemena acuminata,Vascular Plant,Whorled Wood Aster,Least Concern,162
Bryce,Odocoileus hemionus,Mammal,Mule Deer,Least Concern,72
Great Smoky Mountains,Odocoileus hemionus,Mammal,Mule Deer,Least Concern,71
Yellowstone,Odocoileus hemionus,Mammal,Mule Deer,Least Concern,257
Yosemite,Odocoileus hemionus,Mammal,Mule Deer,Least Concern,143
Bryce,Odocoileus virginianus,Mammal,White-Tailed Deer,Least Concern,183
Great Smoky Mountains,Odocoileus virginianus,Mammal,White-Tailed Deer,Least Concern,109
Yellowstone,Odocoileus virginianus,Mammal,White-Tailed Deer,Least Concern,484
Yosemite,Odocoileus virginianus,Mammal,White-Tailed Deer,Least Concern,285
Bryce,Oenothera biennis,Vascular Plant,Evening Primrose,Least Concern,75
Great Smoky Mountains,Oenothera biennis,Vascular Plant,Evening Primrose,Least Concern,65
Yellowstone,Oenothera biennis,Vascular Plant,Evening Primrose,Least Concern,249
Yosemite,Oenothera biennis,Vascular Plant,Evening Primrose,Least Concern,152
Bryce,Oenothera elata ssp. hirsutissima,Vascular Plant,Hooker's Evening-Primrose,Least Concern,61
Great Smoky Mountains,Oenothera elata ssp. hirsutissima,Vascular Plant,Hooker's Evening-Primrose,Least Concern,69
Yellowstone,Oenothera elata ssp. hirsutissima,Vascular Plant,Hooker's Evening-Primrose,Least Concern,244
Yosemite,Oenothera elata ssp. hirsutissima,Vascular Plant,Hooker's Evening-Primrose,Least Concern,160
Bryce,Oenothera fruticosa ssp. fruticosa,Vascular Plant,Sundrops,Least Concern,89
Great Smoky Mountains,Oenothera fruticosa ssp. fruticosa,Vascular Plant,Sundrops,Least Concern,47
Yellowstone,Oenothera fruticosa ssp. fruticosa,Vascular Plant,Sundrops,Least Concern,254
Yosemite,Oenothera fruticosa ssp. fruticosa,Vascular Plant,Sundrops,Least Concern,151
Bryce,Oenothera fruticosa ssp. glauca,Vascular Plant,Sundrops,Least Concern,73
Great Smoky Mountains,Oenothera fruticosa ssp. glauca,Vascular Plant,Sundrops,Least Concern,93
Yellowstone,Oenothera fruticosa ssp. glauca,Vascular Plant,Sundrops,Least Concern,244
Yosemite,Oenothera fruticosa ssp. glauca,Vascular Plant,Sundrops,Least Concern,149
Bryce,Oenothera laciniata,Vascular Plant,Cut-Leaved Evening-Primrose,Least Concern,85
Great Smoky Mountains,Oenothera laciniata,Vascular Plant,Cut-Leaved Evening-Primrose,Least Concern,47
Yellowstone,Oenothera laciniata,Vascular Plant,Cut-Leaved Evening-Primrose,Least Concern,249
Yosemite,Oenothera laciniata,Vascular Plant,Cut-Leaved Evening-Primrose,Least Concern,141
Bryce,Oenothera linifolia,Vascular Plant,Threadleaf Eveningprimrose,Least Concern,82
Great Smoky Mountains,Oenothera linifolia,Vascular Plant,Threadleaf Eveningprimrose,Least Concern,66
Yellowstone,Oenothera linifolia,Vascular Plant,Threadleaf Eveningprimrose,Least Concern,224
Yosemite,Oenothera linifolia,Vascular Plant,Threadleaf Eveningprimrose,Least Concern,174
Bryce,Oenothera speciosa,Vascular Plant,White Evening-Primrose,Least Concern,64
Great Smoky Mountains,Oenothera speciosa,Vascular Plant,White Evening-Primrose,Least Concern,48
Yellowstone,Oenothera speciosa,Vascular Plant,White Evening-Primrose,Least Concern,247
Yosemite,Oenothera speciosa,Vascular Plant,White Evening-Primrose,Least Concern,184
Bryce,Oenothera triloba,Vascular Plant,Stemless Eveningprimrose,Least Concern,119
Great Smoky Mountains,Oenothera triloba,Vascular Plant,Stemless Eveningprimrose,Least Concern,101
Yellowstone,Oenothera triloba,Vascular Plant,Stemless Eveningprimrose,Least Concern,258
Yosemite,Oenothera triloba,Vascular Plant,Stemless Eveningprimrose,Least Concern,152
Bryce,Oligoneuron rigidum var. rigidum,Vascular Plant,Stiff Goldenrod,Least Concern,144
Great Smoky Mountains,Oligoneuron rigidum var. rigidum,Vascular Plant,Stiff Goldenrod,Least Concern,62
Yellowstone,Oligoneuron rigidum var. rigidum,Vascular Plant,Stiff Goldenrod,Least Concern,231
Yosemite,Oligoneuron rigidum var. rigidum,Vascular Plant,Stiff Goldenrod,Least Concern,138
Bryce,Oncophorus raui,Nonvascular Plant,Oncophorus Moss,Least Concern,80
Great Smoky Mountains,Oncophorus raui,Nonvascular Plant,Oncophorus Moss,Least Concern,76
Yellowstone,Oncophorus raui,Nonvascular Plant,Oncophorus Moss,Least Concern,238
Yosemite,Oncophorus raui,Nonvascular Plant,Oncophorus Moss,Least Concern,126
Bryce,Oncophorus wahlenbergii,Nonvascular Plant,Wahlenberg's Oncophorus Moss,Least Concern,132
Great Smoky Mountains,Oncophorus wahlenbergii,Nonvascular Plant,Wahlenberg's Oncophorus Moss,Least Concern,64
Yellowstone,Oncophorus wahlenbergii,Nonvascular Plant,Wahlenberg's Oncophorus Moss,Least Concern,234
Yosemite,Oncophorus wahlenbergii,Nonvascular Plant,Wahlenberg's Oncophorus Moss,Least Concern,150
Bryce,Oncorhynchus clarki behnkei,Fish,Finespotted Snake River Cutthroat Trout,Least Concern,87
Great Smoky Mountains,Oncorhynchus clarki behnkei,Fish,Finespotted Snake River Cutthroat Trout,Least Concern,65
Yellowstone,Oncorhynchus clarki behnkei,Fish,Finespotted Snake River Cutthroat Trout,Least Concern,256
Yosemite,Oncorhynchus clarki behnkei,Fish,Finespotted Snake River Cutthroat Trout,Least Concern,192
Bryce,Oncorhynchus clarkii bouvieri,Fish,Yellowstone Cutthroat Trout,Least Concern,114
Great Smoky Mountains,Oncorhynchus clarkii bouvieri,Fish,Yellowstone Cutthroat Trout,Least Concern,66
Yellowstone,Oncorhynchus clarkii bouvieri,Fish,Yellowstone Cutthroat Trout,Least Concern,279
Yosemite,Oncorhynchus clarkii bouvieri,Fish,Yellowstone Cutthroat Trout,Least Concern,140
Bryce,Oncorhynchus clarkii henshawi,Fish,Lahontan Cutthroat Trout,Threatened,57
Great Smoky Mountains,Oncorhynchus clarkii henshawi,Fish,Lahontan Cutthroat Trout,Threatened,48
Yellowstone,Oncorhynchus clarkii henshawi,Fish,Lahontan Cutthroat Trout,Threatened,111
Yosemite,Oncorhynchus clarkii henshawi,Fish,Lahontan Cutthroat Trout,Threatened,85
Bryce,Oncorhynchus clarkii lewisi,Fish,Westslope Cutthroat Trout,Least Concern,65
Great Smoky Mountains,Oncorhynchus clarkii lewisi,Fish,Westslope Cutthroat Trout,Least Concern,69
Yellowstone,Oncorhynchus clarkii lewisi,Fish,Westslope Cutthroat Trout,Least Concern,240
Yosemite,Oncorhynchus clarkii lewisi,Fish,Westslope Cutthroat Trout,Least Concern,140
Bryce,Oncorhynchus mykiss,Fish,Rainbow Trout,Threatened,164
Great Smoky Mountains,Oncorhynchus mykiss,Fish,Rainbow Trout,Threatened,100
Yellowstone,Oncorhynchus mykiss,Fish,Rainbow Trout,Threatened,372
Yosemite,Oncorhynchus mykiss,Fish,Rainbow Trout,Threatened,177
Bryce,Oncorhynchus mykiss aguabonita,Fish,California Golden Trout,Least Concern,90
Great Smoky Mountains,Oncorhynchus mykiss aguabonita,Fish,California Golden Trout,Least Concern,67
Yellowstone,Oncorhynchus mykiss aguabonita,Fish,California Golden Trout,Least Concern,254
Yosemite,Oncorhynchus mykiss aguabonita,Fish,California Golden Trout,Least Concern,166
Bryce,Ondatra zibethicus,Mammal,Muskrat,Least Concern,113
Great Smoky Mountains,Ondatra zibethicus,Mammal,Muskrat,Least Concern,125
Yellowstone,Ondatra zibethicus,Mammal,Muskrat,Least Concern,508
Yosemite,Ondatra zibethicus,Mammal,Muskrat,Least Concern,297
Bryce,Onobrychis viciifolia,Vascular Plant,Sainfoin,Least Concern,99
Great Smoky Mountains,Onobrychis viciifolia,Vascular Plant,Sainfoin,Least Concern,78
Yellowstone,Onobrychis viciifolia,Vascular Plant,Sainfoin,Least Concern,261
Yosemite,Onobrychis viciifolia,Vascular Plant,Sainfoin,Least Concern,141
Bryce,Onoclea sensibilis,Vascular Plant,Sensitive Fern,Least Concern,82
Great Smoky Mountains,Onoclea sensibilis,Vascular Plant,Sensitive Fern,Least Concern,75
Yellowstone,Onoclea sensibilis,Vascular Plant,Sensitive Fern,Least Concern,248
Yosemite,Onoclea sensibilis,Vascular Plant,Sensitive Fern,Least Concern,130
Bryce,Onopordum acanthium,Vascular Plant,Scotch Thistle,Least Concern,99
Great Smoky Mountains,Onopordum acanthium,Vascular Plant,Scotch Thistle,Least Concern,76
Yellowstone,Onopordum acanthium,Vascular Plant,Scotch Thistle,Least Concern,238
Yosemite,Onopordum acanthium,Vascular Plant,Scotch Thistle,Least Concern,161
Bryce,Opheodrys aestivus aestivus,Reptile,Eastern Rough Green Snake,Least Concern,100
Great Smoky Mountains,Opheodrys aestivus aestivus,Reptile,Eastern Rough Green Snake,Least Concern,69
Yellowstone,Opheodrys aestivus aestivus,Reptile,Eastern Rough Green Snake,Least Concern,266
Yosemite,Opheodrys aestivus aestivus,Reptile,Eastern Rough Green Snake,Least Concern,161
Bryce,Ophioglossum pusillum,Vascular Plant,Northern Adder's-Tongue,Least Concern,123
Great Smoky Mountains,Ophioglossum pusillum,Vascular Plant,Northern Adder's-Tongue,Least Concern,64
Yellowstone,Ophioglossum pusillum,Vascular Plant,Northern Adder's-Tongue,Least Concern,234
Yosemite,Ophioglossum pusillum,Vascular Plant,Northern Adder's-Tongue,Least Concern,142
Bryce,Ophioglossum vulgatum,Vascular Plant,Southern Adder's-Tongue,Least Concern,160
Great Smoky Mountains,Ophioglossum vulgatum,Vascular Plant,Southern Adder's-Tongue,Least Concern,36
Yellowstone,Ophioglossum vulgatum,Vascular Plant,Southern Adder's-Tongue,Least Concern,258
Yosemite,Ophioglossum vulgatum,Vascular Plant,Southern Adder's-Tongue,Least Concern,159
Bryce,Ophisaurus attenuatus longicaudus,Reptile,Eastern Slender Glass Lizard,Least Concern,87
Great Smoky Mountains,Ophisaurus attenuatus longicaudus,Reptile,Eastern Slender Glass Lizard,Least Concern,73
Yellowstone,Ophisaurus attenuatus longicaudus,Reptile,Eastern Slender Glass Lizard,Least Concern,258
Yosemite,Ophisaurus attenuatus longicaudus,Reptile,Eastern Slender Glass Lizard,Least Concern,152
Bryce,Oporornis agilis,Bird,Connecticut Warbler,Least Concern,75
Great Smoky Mountains,Oporornis agilis,Bird,Connecticut Warbler,Least Concern,92
Yellowstone,Oporornis agilis,Bird,Connecticut Warbler,Least Concern,272
Yosemite,Oporornis agilis,Bird,Connecticut Warbler,Least Concern,131
Bryce,Oporornis formosus,Bird,Kentucky Warbler,Least Concern,108
Great Smoky Mountains,Oporornis formosus,Bird,Kentucky Warbler,Least Concern,71
Yellowstone,Oporornis formosus,Bird,Kentucky Warbler,Least Concern,278
Yosemite,Oporornis formosus,Bird,Kentucky Warbler,Least Concern,163
Bryce,Oporornis philadelphia,Bird,Mourning Warbler,Least Concern,50
Great Smoky Mountains,Oporornis philadelphia,Bird,Mourning Warbler,Least Concern,90
Yellowstone,Oporornis philadelphia,Bird,Mourning Warbler,Least Concern,217
Yosemite,Oporornis philadelphia,Bird,Mourning Warbler,Least Concern,173
Bryce,Opuntia fragilis,Vascular Plant,Little Pricklypear,Least Concern,66
Great Smoky Mountains,Opuntia fragilis,Vascular Plant,Little Pricklypear,Least Concern,57
Yellowstone,Opuntia fragilis,Vascular Plant,Little Pricklypear,Least Concern,277
Yosemite,Opuntia fragilis,Vascular Plant,Little Pricklypear,Least Concern,168
Bryce,Opuntia humifusa,Vascular Plant,Pricklypear,Least Concern,64
Great Smoky Mountains,Opuntia humifusa,Vascular Plant,Pricklypear,Least Concern,68
Yellowstone,Opuntia humifusa,Vascular Plant,Pricklypear,Least Concern,248
Yosemite,Opuntia humifusa,Vascular Plant,Pricklypear,Least Concern,154
Bryce,Opuntia polyacantha var. polyacantha,Vascular Plant,Hairspine Pricklypear,Least Concern,70
Great Smoky Mountains,Opuntia polyacantha var. polyacantha,Vascular Plant,Hairspine Pricklypear,Least Concern,83
Yellowstone,Opuntia polyacantha var. polyacantha,Vascular Plant,Hairspine Pricklypear,Least Concern,280
Yosemite,Opuntia polyacantha var. polyacantha,Vascular Plant,Hairspine Pricklypear,Least Concern,139
Bryce,Orbexilum onobrychis,Vascular Plant,Tall Psoralea,Least Concern,111
Great Smoky Mountains,Orbexilum onobrychis,Vascular Plant,Tall Psoralea,Least Concern,67
Yellowstone,Orbexilum onobrychis,Vascular Plant,Tall Psoralea,Least Concern,265
Yosemite,Orbexilum onobrychis,Vascular Plant,Tall Psoralea,Least Concern,131
Bryce,Orbexilum pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,82
Great Smoky Mountains,Orbexilum pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,90
Yellowstone,Orbexilum pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,233
Yosemite,Orbexilum pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,148
Bryce,Orbexilum pedunculatum var. pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,60
Great Smoky Mountains,Orbexilum pedunculatum var. pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,94
Yellowstone,Orbexilum pedunculatum var. pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,202
Yosemite,Orbexilum pedunculatum var. pedunculatum,Vascular Plant,Sampson's Snakeroot,Least Concern,147
Bryce,Orbexilum pedunculatum var. psoralioides,Vascular Plant,Sampson's Snakeroot,Least Concern,112
Great Smoky Mountains,Orbexilum pedunculatum var. psoralioides,Vascular Plant,Sampson's Snakeroot,Least Concern,49
Yellowstone,Orbexilum pedunculatum var. psoralioides,Vascular Plant,Sampson's Snakeroot,Least Concern,232
Yosemite,Orbexilum pedunculatum var. psoralioides,Vascular Plant,Sampson's Snakeroot,Least Concern,165
Bryce,Oreamnos americanus,Mammal,Rocky Mountain Goat,Least Concern,116
Great Smoky Mountains,Oreamnos americanus,Mammal,Rocky Mountain Goat,Least Concern,68
Yellowstone,Oreamnos americanus,Mammal,Rocky Mountain Goat,Least Concern,231
Yosemite,Oreamnos americanus,Mammal,Rocky Mountain Goat,Least Concern,137
Bryce,Oreortyx pictus,Bird,Mountain Quail,Least Concern,126
Great Smoky Mountains,Oreortyx pictus,Bird,Mountain Quail,Least Concern,74
Yellowstone,Oreortyx pictus,Bird,Mountain Quail,Least Concern,242
Yosemite,Oreortyx pictus,Bird,Mountain Quail,Least Concern,150
Bryce,Oreoscoptes montanus,Bird,Sage Thrasher,Species of Concern,107
Great Smoky Mountains,Oreoscoptes montanus,Bird,Sage Thrasher,Species of Concern,38
Yellowstone,Oreoscoptes montanus,Bird,Sage Thrasher,Species of Concern,202
Yosemite,Oreoscoptes montanus,Bird,Sage Thrasher,Species of Concern,127
Bryce,Oreostemma alpigenum var. haydenii,Vascular Plant,Tundra Aster,Least Concern,87
Great Smoky Mountains,Oreostemma alpigenum var. haydenii,Vascular Plant,Tundra Aster,Least Concern,92
Yellowstone,Oreostemma alpigenum var. haydenii,Vascular Plant,Tundra Aster,Least Concern,284
Yosemite,Oreostemma alpigenum var. haydenii,Vascular Plant,Tundra Aster,Least Concern,120
Bryce,Oreothlypis celata,Bird,Orange-Crowned Warbler,Least Concern,75
Great Smoky Mountains,Oreothlypis celata,Bird,Orange-Crowned Warbler,Least Concern,82
Yellowstone,Oreothlypis celata,Bird,Orange-Crowned Warbler,Least Concern,259
Yosemite,Oreothlypis celata,Bird,Orange-Crowned Warbler,Least Concern,145
Bryce,Oreothlypis peregrina,Bird,Tennessee Warbler,Least Concern,71
Great Smoky Mountains,Oreothlypis peregrina,Bird,Tennessee Warbler,Least Concern,81
Yellowstone,Oreothlypis peregrina,Bird,Tennessee Warbler,Least Concern,250
Yosemite,Oreothlypis peregrina,Bird,Tennessee Warbler,Least Concern,164
Bryce,Oreothlypis ruficapilla,Bird,Nashville Warbler,Least Concern,111
Great Smoky Mountains,Oreothlypis ruficapilla,Bird,Nashville Warbler,Least Concern,42
Yellowstone,Oreothlypis ruficapilla,Bird,Nashville Warbler,Least Concern,243
Yosemite,Oreothlypis ruficapilla,Bird,Nashville Warbler,Least Concern,129
Bryce,Oreothlypis virginiae,Bird,Virginia's Warbler,Least Concern,84
Great Smoky Mountains,Oreothlypis virginiae,Bird,Virginia's Warbler,Least Concern,74
Yellowstone,Oreothlypis virginiae,Bird,Virginia's Warbler,Least Concern,226
Yosemite,Oreothlypis virginiae,Bird,Virginia's Warbler,Least Concern,134
Bryce,Ornithogalum umbellatum,Vascular Plant,Star-Of-Bethlehem,Least Concern,81
Great Smoky Mountains,Ornithogalum umbellatum,Vascular Plant,Star-Of-Bethlehem,Least Concern,71
Yellowstone,Ornithogalum umbellatum,Vascular Plant,Star-Of-Bethlehem,Least Concern,276
Yosemite,Ornithogalum umbellatum,Vascular Plant,Star-Of-Bethlehem,Least Concern,155
Bryce,Orobanche californica ssp. grayana,Vascular Plant,Gray's Broomrape,Least Concern,93
Great Smoky Mountains,Orobanche californica ssp. grayana,Vascular Plant,Gray's Broomrape,Least Concern,74
Yellowstone,Orobanche californica ssp. grayana,Vascular Plant,Gray's Broomrape,Least Concern,260
Yosemite,Orobanche californica ssp. grayana,Vascular Plant,Gray's Broomrape,Least Concern,153
Bryce,Orobanche corymbosa,Vascular Plant,Rydberg's Broomrape,Least Concern,123
Great Smoky Mountains,Orobanche corymbosa,Vascular Plant,Rydberg's Broomrape,Least Concern,119
Yellowstone,Orobanche corymbosa,Vascular Plant,Rydberg's Broomrape,Least Concern,278
Yosemite,Orobanche corymbosa,Vascular Plant,Rydberg's Broomrape,Least Concern,142
Bryce,Orobanche fasciculata,Vascular Plant,Tufted Broomrape,Least Concern,105
Great Smoky Mountains,Orobanche fasciculata,Vascular Plant,Tufted Broomrape,Least Concern,79
Yellowstone,Orobanche fasciculata,Vascular Plant,Tufted Broomrape,Least Concern,278
Yosemite,Orobanche fasciculata,Vascular Plant,Tufted Broomrape,Least Concern,142
Bryce,Orobanche ludoviciana var. ludoviciana,Vascular Plant,Louisiana Broomrape,Least Concern,93
Great Smoky Mountains,Orobanche ludoviciana var. ludoviciana,Vascular Plant,Louisiana Broomrape,Least Concern,85
Yellowstone,Orobanche ludoviciana var. ludoviciana,Vascular Plant,Louisiana Broomrape,Least Concern,236
Yosemite,Orobanche ludoviciana var. ludoviciana,Vascular Plant,Louisiana Broomrape,Least Concern,96
Bryce,Orobanche uniflora,Vascular Plant,Oneflowered Broomrape,Least Concern,196
Great Smoky Mountains,Orobanche uniflora,Vascular Plant,Oneflowered Broomrape,Least Concern,153
Yellowstone,Orobanche uniflora,Vascular Plant,Oneflowered Broomrape,Least Concern,498
Yosemite,Orobanche uniflora,Vascular Plant,Oneflowered Broomrape,Least Concern,373
Bryce,Orogenia linearifolia,Vascular Plant,Indianpotato,Least Concern,98
Great Smoky Mountains,Orogenia linearifolia,Vascular Plant,Indianpotato,Least Concern,64
Yellowstone,Orogenia linearifolia,Vascular Plant,Indianpotato,Least Concern,292
Yosemite,Orogenia linearifolia,Vascular Plant,Indianpotato,Least Concern,148
Bryce,Orthilia secunda,Vascular Plant,Sidebells Wintergreen,Least Concern,106
Great Smoky Mountains,Orthilia secunda,Vascular Plant,Sidebells Wintergreen,Least Concern,72
Yellowstone,Orthilia secunda,Vascular Plant,Sidebells Wintergreen,Least Concern,246
Yosemite,Orthilia secunda,Vascular Plant,Sidebells Wintergreen,Least Concern,133
Bryce,Orthocarpus cuspidatus ssp. cryptanthus,Vascular Plant,Cryptantha Owl's-Clover,Least Concern,102
Great Smoky Mountains,Orthocarpus cuspidatus ssp. cryptanthus,Vascular Plant,Cryptantha Owl's-Clover,Least Concern,107
Yellowstone,Orthocarpus cuspidatus ssp. cryptanthus,Vascular Plant,Cryptantha Owl's-Clover,Least Concern,256
Yosemite,Orthocarpus cuspidatus ssp. cryptanthus,Vascular Plant,Cryptantha Owl's-Clover,Least Concern,159
Bryce,Orthocarpus luteus,Vascular Plant,Yellow Owl's-Clover,Least Concern,78
Great Smoky Mountains,Orthocarpus luteus,Vascular Plant,Yellow Owl's-Clover,Least Concern,47
Yellowstone,Orthocarpus luteus,Vascular Plant,Yellow Owl's-Clover,Least Concern,234
Yosemite,Orthocarpus luteus,Vascular Plant,Yellow Owl's-Clover,Least Concern,150
Bryce,Orthodontium pellucens,Nonvascular Plant,Translucent Orthodontium,Least Concern,72
Great Smoky Mountains,Orthodontium pellucens,Nonvascular Plant,Translucent Orthodontium,Least Concern,104
Yellowstone,Orthodontium pellucens,Nonvascular Plant,Translucent Orthodontium,Least Concern,238
Yosemite,Orthodontium pellucens,Nonvascular Plant,Translucent Orthodontium,Least Concern,135
Bryce,Orthotrichum exiguum,Nonvascular Plant,Orthotrichum Moss,Least Concern,114
Great Smoky Mountains,Orthotrichum exiguum,Nonvascular Plant,Orthotrichum Moss,Least Concern,67
Yellowstone,Orthotrichum exiguum,Nonvascular Plant,Orthotrichum Moss,Least Concern,277
Yosemite,Orthotrichum exiguum,Nonvascular Plant,Orthotrichum Moss,Least Concern,140
Bryce,Orthotrichum ohioense,Nonvascular Plant,Ohio Orthotrichum Moss,Least Concern,81
Great Smoky Mountains,Orthotrichum ohioense,Nonvascular Plant,Ohio Orthotrichum Moss,Least Concern,42
Yellowstone,Orthotrichum ohioense,Nonvascular Plant,Ohio Orthotrichum Moss,Least Concern,239
Yosemite,Orthotrichum ohioense,Nonvascular Plant,Ohio Orthotrichum Moss,Least Concern,168
Bryce,Orthotrichum stellatum,Nonvascular Plant,Stellate Orthotrichum Moss,Least Concern,131
Great Smoky Mountains,Orthotrichum stellatum,Nonvascular Plant,Stellate Orthotrichum Moss,Least Concern,71
Yellowstone,Orthotrichum stellatum,Nonvascular Plant,Stellate Orthotrichum Moss,Least Concern,222
Yosemite,Orthotrichum stellatum,Nonvascular Plant,Stellate Orthotrichum Moss,Least Concern,178
Bryce,Orthotrichum strangulatum,Nonvascular Plant,Strangulate Orthotrichum Moss,Least Concern,92
Great Smoky Mountains,Orthotrichum strangulatum,Nonvascular Plant,Strangulate Orthotrichum Moss,Least Concern,114
Yellowstone,Orthotrichum strangulatum,Nonvascular Plant,Strangulate Orthotrichum Moss,Least Concern,260
Yosemite,Orthotrichum strangulatum,Nonvascular Plant,Strangulate Orthotrichum Moss,Least Concern,147
Bryce,Oryzomys palustris,Mammal,Marsh Rice Rat,Least Concern,117
Great Smoky Mountains,Oryzomys palustris,Mammal,Marsh Rice Rat,Least Concern,88
Yellowstone,Oryzomys palustris,Mammal,Marsh Rice Rat,Least Concern,266
Yosemite,Oryzomys palustris,Mammal,Marsh Rice Rat,Least Concern,141
Bryce,Oryzomys palustris palustris,Mammal,Marsh Rice Rat,Least Concern,124
Great Smoky Mountains,Oryzomys palustris palustris,Mammal,Marsh Rice Rat,Least Concern,40
Yellowstone,Oryzomys palustris palustris,Mammal,Marsh Rice Rat,Least Concern,242
Yosemite,Oryzomys palustris palustris,Mammal,Marsh Rice Rat,Least Concern,118
Bryce,Oryzopsis asperifolia,Vascular Plant,White-Grain Mountain-Rice Gras,Least Concern,126
Great Smoky Mountains,Oryzopsis asperifolia,Vascular Plant,White-Grain Mountain-Rice Gras,Least Concern,41
Yellowstone,Oryzopsis asperifolia,Vascular Plant,White-Grain Mountain-Rice Gras,Least Concern,231
Yosemite,Oryzopsis asperifolia,Vascular Plant,White-Grain Mountain-Rice Gras,Least Concern,157
Bryce,Osmorhiza berteroi,Vascular Plant,Sweetcicely,Least Concern,108
Great Smoky Mountains,Osmorhiza berteroi,Vascular Plant,Sweetcicely,Least Concern,87
Yellowstone,Osmorhiza berteroi,Vascular Plant,Sweetcicely,Least Concern,263
Yosemite,Osmorhiza berteroi,Vascular Plant,Sweetcicely,Least Concern,135
Bryce,Osmorhiza brachypoda,Vascular Plant,California Sweet-Cicely,Least Concern,101
Great Smoky Mountains,Osmorhiza brachypoda,Vascular Plant,California Sweet-Cicely,Least Concern,100
Yellowstone,Osmorhiza brachypoda,Vascular Plant,California Sweet-Cicely,Least Concern,237
Yosemite,Osmorhiza brachypoda,Vascular Plant,California Sweet-Cicely,Least Concern,125
Bryce,Osmorhiza claytonii,Vascular Plant,Sweet Cicely,Least Concern,67
Great Smoky Mountains,Osmorhiza claytonii,Vascular Plant,Sweet Cicely,Least Concern,79
Yellowstone,Osmorhiza claytonii,Vascular Plant,Sweet Cicely,Least Concern,258
Yosemite,Osmorhiza claytonii,Vascular Plant,Sweet Cicely,Least Concern,162
Bryce,Osmorhiza depauperata,Vascular Plant,Bluntseed Sweetroot,Least Concern,67
Great Smoky Mountains,Osmorhiza depauperata,Vascular Plant,Bluntseed Sweetroot,Least Concern,67
Yellowstone,Osmorhiza depauperata,Vascular Plant,Bluntseed Sweetroot,Least Concern,236
Yosemite,Osmorhiza depauperata,Vascular Plant,Bluntseed Sweetroot,Least Concern,163
Bryce,Osmorhiza longistylis,Vascular Plant,Smoother Sweet-Cicely,Least Concern,79
Great Smoky Mountains,Osmorhiza longistylis,Vascular Plant,Smoother Sweet-Cicely,Least Concern,87
Yellowstone,Osmorhiza longistylis,Vascular Plant,Smoother Sweet-Cicely,Least Concern,284
Yosemite,Osmorhiza longistylis,Vascular Plant,Smoother Sweet-Cicely,Least Concern,127
Bryce,Osmorhiza occidentalis,Vascular Plant,Western Sweetroot,Least Concern,117
Great Smoky Mountains,Osmorhiza occidentalis,Vascular Plant,Western Sweetroot,Least Concern,70
Yellowstone,Osmorhiza occidentalis,Vascular Plant,Western Sweetroot,Least Concern,245
Yosemite,Osmorhiza occidentalis,Vascular Plant,Western Sweetroot,Least Concern,128
Bryce,Osmunda cinnamomea,Vascular Plant,Cinnamon Fern,Least Concern,121
Great Smoky Mountains,Osmunda cinnamomea,Vascular Plant,Cinnamon Fern,Least Concern,98
Yellowstone,Osmunda cinnamomea,Vascular Plant,Cinnamon Fern,Least Concern,260
Yosemite,Osmunda cinnamomea,Vascular Plant,Cinnamon Fern,Least Concern,162
Bryce,Osmunda claytoniana,Vascular Plant,Interrupted Fern,Least Concern,75
Great Smoky Mountains,Osmunda claytoniana,Vascular Plant,Interrupted Fern,Least Concern,73
Yellowstone,Osmunda claytoniana,Vascular Plant,Interrupted Fern,Least Concern,259
Yosemite,Osmunda claytoniana,Vascular Plant,Interrupted Fern,Least Concern,144
Bryce,Osmunda regalis var. spectabilis,Vascular Plant,Royal Fern,Least Concern,113
Great Smoky Mountains,Osmunda regalis var. spectabilis,Vascular Plant,Royal Fern,Least Concern,69
Yellowstone,Osmunda regalis var. spectabilis,Vascular Plant,Royal Fern,Least Concern,252
Yosemite,Osmunda regalis var. spectabilis,Vascular Plant,Royal Fern,Least Concern,136
Bryce,Ostrya,Vascular Plant,Hophornbeam,Least Concern,91
Great Smoky Mountains,Ostrya,Vascular Plant,Hophornbeam,Least Concern,71
Yellowstone,Ostrya,Vascular Plant,Hophornbeam,Least Concern,234
Yosemite,Ostrya,Vascular Plant,Hophornbeam,Least Concern,140
Bryce,Ostrya virginiana,Vascular Plant,Hop-Hornbeam,Least Concern,96
Great Smoky Mountains,Ostrya virginiana,Vascular Plant,Hop-Hornbeam,Least Concern,80
Yellowstone,Ostrya virginiana,Vascular Plant,Hop-Hornbeam,Least Concern,244
